[2023/5/21 22:24:30]LogToFile started.
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592425-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 6790592423-0. 长：7.909525, 宽：0.6916194, 高：6.798955
[2023/5/21 22:24:31]检测到交通灯: 1534364747-0. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 1534364747-1. 长：4.269161, 宽：0.7350994, 高：9.88488
[2023/5/21 22:24:31]检测到交通灯: 6790592430-0. 长：7.909525, 宽：0.6916194, 高：6.798955
